Offer Amount,Dictator Accept Count,Dictator Reject Count,Dictator Ambiguous Count,Group,Tribe
0,3,97,0,1,Ache
1,2,98,0,1,Ache
2,1,99,0,1,Ache
3,0,100,0,1,Ache
4,2,98,0,1,Ache
5,0,100,0,1,Ache
6,1,99,0,1,Ache
7,1,99,0,1,Ache
8,2,98,0,1,Ache
9,1,99,0,1,Ache
10,0,100,0,1,Ache
0,7,93,0,2,Hadza
1,3,97,0,2,Hadza
2,5,95,0,2,Hadza
3,3,97,0,2,Hadza
4,2,98,0,2,Hadza
5,2,98,0,2,Hadza
6,0,100,0,2,Hadza
7,2,98,0,2,Hadza
8,4,96,0,2,Hadza
9,5,95,0,2,Hadza
10,3,97,0,2,Hadza
0,21,79,0,3,Tsimane
1,3,97,0,3,Tsimane
2,2,98,0,3,Tsimane
3,5,95,0,3,Tsimane
4,1,99,0,3,Tsimane
5,3,97,0,3,Tsimane
6,0,100,0,3,Tsimane
7,7,93,0,3,Tsimane
8,0,100,0,3,Tsimane
9,2,98,0,3,Tsimane
10,2,98,0,3,Tsimane
0,11,89,0,4,Orma
1,3,97,0,4,Orma
2,4,96,0,4,Orma
3,0,100,0,4,Orma
4,5,95,0,4,Orma
5,4,96,0,4,Orma
6,1,99,0,4,Orma
7,2,98,0,4,Orma
8,3,97,0,4,Orma
9,1,99,0,4,Orma
10,1,99,0,4,Orma
0,1,99,0,5,Yanomami
1,0,100,0,5,Yanomami
2,0,100,0,5,Yanomami
3,1,99,0,5,Yanomami
4,2,98,0,5,Yanomami
5,0,100,0,5,Yanomami
6,0,100,0,5,Yanomami
7,0,100,0,5,Yanomami
8,0,100,0,5,Yanomami
9,0,100,0,5,Yanomami
10,0,100,0,5,Yanomami
0,20,80,0,6,Machiguenga
1,4,96,0,6,Machiguenga
2,4,96,0,6,Machiguenga
3,1,99,0,6,Machiguenga
4,3,97,0,6,Machiguenga
5,4,96,0,6,Machiguenga
6,1,99,0,6,Machiguenga
7,2,98,0,6,Machiguenga
8,2,98,0,6,Machiguenga
9,3,97,0,6,Machiguenga
10,0,100,0,6,Machiguenga
0,0,100,0,7,ChatGPT
1,3,97,0,7,ChatGPT
2,3,97,0,7,ChatGPT
3,1,99,0,7,ChatGPT
4,4,96,0,7,ChatGPT
5,1,99,0,7,ChatGPT
6,1,99,0,7,ChatGPT
7,1,99,0,7,ChatGPT
8,1,99,0,7,ChatGPT
9,6,94,0,7,ChatGPT
10,1,99,0,7,ChatGPT
